unique_ip_address,city,region,country,latitude,longitude,local_time_zone,utc_offset
173.79.66.78,Washington D.C.,District of Columbia,US,,,America/New_York,-5.0
70.110.22.156,Washington D.C.,District of Columbia,US,,,America/New_York,-5.0
108.18.101.195,Washington D.C.,District of Columbia,US,,,America/New_York,-5.0
71.246.200.163,Washington D.C.,District of Columbia,US,38.8950368,-77.0365427,America/New_York,-5.0
129.64.121.98,Waltham (Brandeis),Massachusetts,US,,,America/New_York,-5.0
129.64.166.4,Waltham (Brandeis),Massachusetts,US,,,America/New_York,-5.0
129.64.123.114,Waltham (Brandeis),Massachusetts,US,,,America/New_York,-5.0
129.64.155.124,Waltham (Brandeis),Massachusetts,US,,,America/New_York,-5.0
129.64.153.87,Waltham (Brandeis),Massachusetts,US,,,America/New_York,-5.0
107.127.45.66,New York,New York,US,,,America/New_York,-5.0
24.148.79.81,Chicago,Illinois,US,,,America/Chicago,-6.0
107.119.44.1,St Louis,Missouri,US,,,America/Chicago,-6.0
166.194.135.178,Chicago,Illinois,US,,,America/Chicago,-6.0
166.205.140.99,Chicago,Illinois,US,,,America/Chicago,-6.0
71.114.105.10,Washington D.C.,District of Columbia,US,,,America/New_York,-5.0
199.195.178.243,Keyes,California,US,37.56046275,-120.90723290143048,America/Los_Angeles,-8.0
108.147.92.132,Lincolnwood,Illinois,US,42.0055985,-87.735572,America/Chicago,-6.0
2600:387:f:5b17::2,Darien,Illinois,US,41.7508713,-87.9739593,America/New_York,-5.0
2600:387:f:7619::9,Zion,Illinois,US,42.4501169,-87.8337753,America/Chicago,-6.0
2600:387:f:6a16::b,Lawrence,Indiana,US,,,America/Chicago,-6.0
166.199.152.13,West Lafayette,Indiana,US,,,America/Indiana/Indianapolis,-5.0
96.95.91.5,Oak Park,Illinois,US,,,America/Chicago,-6.0
2600:387:f:5b14::4,Chicago,Illinois,US,,,America/Chicago,-6.0
166.194.132.52,West Lafayette,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:15:2c1b::5,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:6a17::7,Bloomington,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:f:5b13::8,Lincolnwood,Illinois,US,,,America/Chicago,-6.0
2600:387:f:7618::c,Lawrence,Indiana,US,,,America/Chicago,-6.0
2600:387:f:6a1b::7,Carrollton,Kentucky,US,,,America/Chicago,-6.0
107.77.206.136,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:6a10::4,Hoffman Estates,Illinois,US,,,America/Chicago,-6.0
12.74.213.82,South Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:15:2c10::a,Chicago,Illinois,US,,,America/Chicago,-6.0
2601:249:8680:3250:78e4:194:60c:7ff2,Chicago,Illinois,US,,,America/Chicago,-6.0
24.13.173.197,River Forest,Illinois,US,,,America/Chicago,-6.0
2600:387:f:5b19::7,National City,California,US,32.6781085,-117.0991967,America/Los_Angeles,-8.0
2600:387:f:5b10::5,Lincolnwood,Illinois,US,42.0055985,-87.735572,America/Chicago,-6.0
2600:387:f:6a18::3,Ashburn,Virginia,US,39.0437192,-77.4874899,America/New_York,-5.0
2600:387:f:5b15::2,Bloomington,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:15:2c11::3,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:7616::7,Meridian Hills,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:f:7614::2,Rolling Meadows,Illinois,US,42.0841936,-88.0131275,America/Chicago,-6.0
2600:387:f:7612::9,Batavia,Illinois,US,41.8500284,-88.3125738,America/New_York,-5.0
2600:387:f:5b11::9,Chicago,Illinois,US,41.8755616,-87.6244212,America/Chicago,-6.0
184.169.45.4,Newark,New Jersey,US,,,America/New_York,-5.0
2600:387:f:7813::7,Capitol Heights,Maryland,US,,,America/New_York,-5.0
2601:19e:4581:b10:f039:690:9ec9:9bce,New London,Connecticut,US,,,America/New_York,-5.0
2600:387:f:7611::3,Lincolnwood,Illinois,US,42.0055985,-87.735572,America/Chicago,-6.0
2600:387:15:2c18::1,Chicago,Illinois,US,41.8755616,-87.6244212,America/Chicago,-6.0
2600:387:f:6a11::5,Ashburn,Virginia,US,39.0437192,-77.4874899,America/New_York,-5.0
2600:387:f:6a1a::4,Greenfield,Indiana,US,,,America/New_York,-5.0
2600:387:f:7615::4,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:7610::5,Indianapolis,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:f:5b1b::1,Crystal Lawns,Illinois,US,41.5703083,-88.1581178,America/Chicago,-6.0
2600:387:f:5b1a::8,Bloomington,Indiana,US,39.1670396,-86.5342881,America/Indiana/Indianapolis,-5.0
2600:387:f:5b18::3,Calumet City,Illinois,US,41.616016,-87.5295837,America/Chicago,-6.0
2600:387:15:2c15::2,Chicago,Illinois,US,41.8755616,-87.6244212,America/Chicago,-6.0
2600:387:15:2c12::a,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:761a::9,Fairmont,Illinois,US,,,America/New_York,-5.0
2600:387:f:7c12::6,Huron,South Dakota,US,,,America/New_York,-5.0
2600:6c44:27f:1aea:3004:dde5:bedb:5485,Two Rivers,Wisconsin,US,,,America/Chicago,-6.0
2600:387:15:271a::c,Wamac,Illinois,US,,,America/Chicago,-6.0
2600:387:f:5b16::a,Ingalls Park,Illinois,US,,,America/Chicago,-6.0
2600:387:15:2c19::6,Blue Island,Illinois,US,,,America/Chicago,-6.0
168.91.221.120,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:6a13::7,Elmwood Park,Illinois,US,,,America/Chicago,-6.0
2600:387:15:2c14::5,Bloomington,Indiana,US,,,America/Indiana/Indianapolis,-5.0
2600:387:f:5b12::2,Oak Park,Illinois,US,,,America/Chicago,-6.0
50.233.222.124,Chicago,Illinois,US,,,America/Chicago,-6.0
2600:387:f:5a15::4,Akron,Ohio,US,41.083064,-81.518485,America/New_York,-5.0
96.241.118.169,Washington D.C.,District of Columbia,US,38.8950368,-77.0365427,America/New_York,-5.0
2600:387:15:2c17::2,Oak Park,Illinois,US,41.8878145,-87.7887615,America/Chicago,-6.0
2600:387:15:2d11::b,Lansing,Michigan,US,42.7338254,-84.5546295,America/Detroit,-5.0
2600:387:15:2d13::8,Lansing,Michigan,US,42.7338254,-84.5546295,America/Detroit,-5.0
12.74.238.44,New York,New York,US,40.7127281,-74.0060152,America/New_York,-5.0
2600:387:15:2d14::2,Elizabeth,New Jersey,US,40.6639916,-74.2107006,America/New_York,-5.0
2600:387:f:6a12::3,Lincolnwood,Illinois,US,,,America/Chicago,-6.0
2600:387:f:6a14::a,Wayne,Illinois,US,,,America/New_York,-5.0
2600:387:f:913::6,Columbia,Missouri,US,,,America/New_York,-5.0
207.104.43.41,Boca Raton,Florida,US,,,America/New_York,-5.0
2600:1700:24f4:7000:15dc:2c67:6667:6d56,Dania Beach,Florida,US,,,America/New_York,-5.0
2600:387:f:d10::8,Boca Raton,Florida,US,,,America/New_York,-5.0
75.104.93.146,Miami Springs,Florida,US,,,America/New_York,-5.0
